"Index" "1013499" "1013534" "1013537" "1013539" "1013541" "1013544" "1013547" "1013552" "1013557" "1013558" "1013568" "1013569" "1013570" "1013571" "1013948" "1014544" "1014587" "1014589" "1014590" "1014592" "1014597" "1014599" "1014601" "1014815" "1015294" "1015296" "1015302" "1015303" "1016762" "1016764" "1016765" "1016769" "1016770" "1016771" "1017293" "1017301" "1017322" "1019647" "2001887" "4005460"
2009-01-02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-06 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-07 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-08 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-09 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-01-30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-06 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-09 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-02-27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-06 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-09 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2009-03-12 0.0410637774742794 0.0276318720014202 0.0211605516389836 0.026560236114966 0.020622278094346 0.0305601501046783 0.0263579606512374 0.0337356364043322 0.040566881649802 0.016862354945475 0.0190905249498498 0.0415410113451924 0.0538275365939334 0.0179925340884718 0.039695302601689 0.0514117509961331 0.0393835393297798 0.0634491987152224 0.0181610735088462 0.0334828461691696 0.0433943951636942 0.0246899023999634 0.0448532011026869 0.0321019212935494 0.0395940536611761 0.0329660985267658 0.0590849831166683 0.0658781780763561 0.0451168773700307 0.0211837735625272 0.0377665163519751 0.0345216834074881 0.0536224399546768 0.0372351468421728 0.0259724545615639 0.0266020948649109 0.0323804741869362 0.0335604427284369 0.0205537935351448 0.0538915707441517
2009-03-13 0.0406390146118009 0.0279728648865185 0.0210647999555711 0.0264622336257797 0.0208074703982896 0.0305452605077072 0.0263008306353338 0.0337716807875088 0.0409667769648773 0.0174563506927463 0.0192965956188902 0.0411413574594399 0.0541080845030163 0.0178267441508433 0.039767344816381 0.0526962430721734 0.0401285300810125 0.0642992319855601 0.0185728482011963 0.0337765096064044 0.0434514150153777 0.0248456473322108 0.0445799344543641 0.0321442211372587 0.0397484997054122 0.0336061355407822 0.0610867266639735 0.0670336294194044 0.0452681463009188 0.0218517747777792 0.0377780916281757 0.034831866466795 0.0542344916372356 0.0371894777941866 0.0281154705389256 0.0271315561566023 0.0325070910864806 0.0321647384241169 0.0200598524371545 0.0540980595021337
2009-03-16 0.0413533511278375 0.0283849208796004 0.0211533340301139 0.0264766858358416 0.0207822631080469 0.0299814737132328 0.0266198702814103 0.0337846173833674 0.040424178129157 0.0175248522717595 0.0193366371821021 0.0411753907447072 0.0541175498030056 0.017640889861779 0.0396841635553405 0.0527668201603891 0.0392089428236816 0.0642906692228408 0.0188886500487749 0.0336640084789794 0.0416583985278864 0.0248463955415195 0.043436070292859 0.0321626721397529 0.0395450454443811 0.0337078107474418 0.0613012226793228 0.0663194128719162 0.0435414443873578 0.0212260486044316 0.0379155339356856 0.0342893411467102 0.0541116873307889 0.0371011196213013 0.0275068482515172 0.0271323065675034 0.0322793325129864 0.0318518877784625 0.0204227086434805 0.0532776934741075
2009-03-17 0.041406150413101 0.0283573977878702 0.0211547997711913 0.0260470178382904 0.0204406553577858 0.0297666223114046 0.026326681327393 0.0337832842952948 0.0390586221114621 0.0174844829735268 0.0185354494980686 0.0407542744619585 0.053891372336333 0.0177177105336422 0.03968455143082 0.0527675844285033 0.03905594771964 0.0644184363589445 0.0188778326771554 0.0336535688275596 0.0418226130535296 0.024847095778129 0.0424840501472946 0.0310333889531667 0.039438164114265 0.0336080755053051 0.0616307678022471 0.0662018791613737 0.0435702542504545 0.0213295742284919 0.0381920763427217 0.0347398948559753 0.0539836329513072 0.0365172593886978 0.0275511249745081 0.0271094496809769 0.0322851830863201 0.0319816668131082 0.0203725899448108 0.0532565021337207
2009-03-18 0.0414025030207453 0.0284939751877189 0.0206410749922691 0.0261800910488425 0.0205683835779737 0.0300651247691702 0.0267775032571621 0.0340173980659389 0.0386970255877523 0.0173964249864063 0.0185070061259734 0.0406134389394323 0.0541360823369448 0.0175758448039362 0.039321742920179 0.0533491525863005 0.0391963930330225 0.0669598660658035 0.0200050600237676 0.0337147843494109 0.0418328888877966 0.0246757289844209 0.0425175508339125 0.031300345340124 0.0394234872138685 0.0335966797922332 0.0617772166913185 0.066323215997539 0.0435232732008513 0.0221176027181571 0.0378573449873097 0.0347468161107161 0.054068199121981 0.0359680579383696 0.0275094974948092 0.0269572628255666 0.0323796672004952 0.0320132400381922 0.0222978900361497 0.0550516516901679
2009-03-19 0.0414207905513454 0.0287109469274855 0.0206783797948916 0.0260797386060196 0.0203375340689466 0.0299336035311964 0.0264949621627792 0.0339367703609233 0.0386620320381137 0.017390672883385 0.0183873862734066 0.0406688035013287 0.0543759853113303 0.0176520042440541 0.0390075765410123 0.0532934183927745 0.0391917653335274 0.0669272070321858 0.0202948682723972 0.0339651394083576 0.0417638013819411 0.0245572357538067 0.042245212838397 0.0300631442052488 0.0392495892646719 0.0339462597683186 0.061846815239202 0.0663262351651361 0.0433865644016244 0.0220755248998536 0.0376859827894204 0.0347144083913754 0.0539510503523948 0.0358395899736483 0.0281196060970404 0.0271491001991893 0.0323860035438785 0.0317889369196154 0.0222619357180984 0.0551257226208398
2009-03-20 0.041214885664808 0.0285843910310042 0.0212305730088806 0.026080131006281 0.0204056787948609 0.0297644595192977 0.0267170744018853 0.0340647133202729 0.0389156675901264 0.0176245140798861 0.0179520948089069 0.0405508230784484 0.0546891994984732 0.0173216884189841 0.0385756415601383 0.0538547154466973 0.0379485472323412 0.0675710253078268 0.0206071111633856 0.0339452521958791 0.0403407356854082 0.0242374891060941 0.0423434042171196 0.0303013719588871 0.0398148212375233 0.0338345491089223 0.0630670383080629 0.0674751379385524 0.0438069812011652 0.0221144316579684 0.0376477075580217 0.0335597601702869 0.0541930021377301 0.0358376892071486 0.0290508157130591 0.0290600422135832 0.0331154879351723 0.0315841272054044 0.022502332523983 0.0553398956069636
2009-03-23 0.04097345899869 0.0284923212267319 0.0214076185438188 0.0260509730201475 0.0203796035903042 0.0299096069503501 0.0262699957403865 0.034077200013532 0.039518039523126 0.0176194287844133 0.0179601475830364 0.044443512758758 0.0543822919655087 0.0172514849966459 0.0381908999048906 0.0538602554372772 0.0375530009936074 0.0673417368880437 0.0212573056858221 0.0337009036968284 0.0401632084350423 0.0243118790762005 0.0423812710595969 0.030833819226981 0.0394323483853209 0.033833108865414 0.0631816307634732 0.0678855863883883 0.0431288096640173 0.0222958628694263 0.0376458362432898 0.0333417673574522 0.0541700561697505 0.03583505467012 0.0290455214058216 0.0283288861249983 0.0331441384047166 0.0313793608097913 0.0226367592826166 0.0563750569096447
2009-03-24 0.0410757986725812 0.0283427616147295 0.0212996482843779 0.025522340458515 0.0195520319077429 0.0294484388784185 0.025897781771981 0.0339486705174632 0.0378218878567101 0.0172313307457712 0.0174654823937081 0.044206671952487 0.053749590408435 0.0175590254033745 0.0377199434379219 0.0529172078489942 0.036530863323344 0.0655788931510506 0.0215304710818355 0.0328791013217308 0.0392816019818589 0.0240837396375263 0.0414988750002371 0.0302581755210933 0.0379225788615415 0.0335257785699605 0.0611469505363053 0.0674572754809655 0.0413716470289912 0.0220547685685398 0.0339714866403427 0.0330367161945127 0.052108182177884 0.0339336959543762 0.0283055516695075 0.0276836420661702 0.0318975772341721 0.0300689944866453 0.02213619093446 0.0554039778417692
2009-03-25 0.0410075774545721 0.0280746627356071 0.0212113177222922 0.0252383594177265 0.0196137388433787 0.0288298695518526 0.0261392033982175 0.0335973549950525 0.0378664515161876 0.0172037517938438 0.0170550145419084 0.0442080658249997 0.053815542824071 0.0175587522997887 0.037605623511605 0.0523537207559488 0.0366298064854503 0.0653383250827351 0.0215399496156724 0.0328928093470104 0.0378642120230484 0.0244622278573747 0.041947075652665 0.0301217997736109 0.037813223761951 0.0341892523885506 0.0610621666924212 0.0667933845536311 0.0413159959106629 0.0220872349060208 0.0341391817383849 0.0332797530920011 0.0520704298579195 0.0343771155973723 0.0283209828705539 0.0277252880283464 0.0324121993698746 0.0299571739189686 0.0225924745835078 0.0552772558356897
2009-03-26 0.0410075336246578 0.028264607665328 0.0212082016639397 0.0252674281156115 0.0179236504028582 0.0286275857841008 0.025659366843878 0.033839568706887 0.0376039369195469 0.0171166737611022 0.01760677867777 0.0444866428318256 0.0538282748246989 0.0185630701281952 0.0372595218945187 0.0511636971181662 0.0366743510246238 0.0644874444109704 0.0217365099382923 0.0327666212345129 0.0379407232244569 0.0244954448363383 0.0429590884992605 0.0301064583488524 0.0377467436205919 0.0335814975169371 0.0614961155988774 0.0666363628861314 0.0412395430091135 0.0220265152250408 0.034309848793055 0.0328215981433156 0.0521585191917087 0.0360207813009731 0.0285287674179612 0.0278453900720194 0.0324128304337602 0.0299170425879368 0.0227825056260788 0.054897370287975
2009-03-27 0.0412523491417147 0.0286971953547811 0.021700256121507 0.0263786044347761 0.0182584029756593 0.0286203479467118 0.0256328450063107 0.0367335033072346 0.0357303800426985 0.0172323078159219 0.0172485359686434 0.0448283545657564 0.0560990125927147 0.0185028451721263 0.0377997843506976 0.0542557317197825 0.0370165871383646 0.0644535294993466 0.0220190619837024 0.0333225671108704 0.0401350313956053 0.024943301466496 0.0429906990116014 0.0302472156425385 0.0386105774224016 0.0307390378354435 0.0598390556649568 0.0676961780916147 0.0415898159355305 0.0220173756579882 0.0345286715215448 0.0336580639184636 0.0528209416736824 0.0361071530099229 0.0285889758462575 0.0279777678996585 0.0329856115753855 0.0302575103014743 0.0227859739146817 0.0565865768082565
