"iid","date","openingPrice","highPrice","lowPrice","lastPrice","quantity"
1013499,"2013-01-02",32.85,33.33,32.82,33.26,705192
1013499,"2013-01-03",33.26,33.28,33.04,33.225,279394
1013499,"2013-01-04",33.135,33.21,32.94,33.18,352880
1013499,"2013-01-07",33,33.01,32.795,32.89,565457
1013499,"2013-01-08",32.875,33.29,32.76,32.905,485394
1013499,"2013-01-09",32.99,33.3,32.98,33.2,457751
1013499,"2013-01-10",33.165,33.38,32.92,33.11,401781
1013499,"2013-01-11",33.115,33.16,32.85,33.155,409553
1013499,"2013-01-14",33.2,33.27,33.06,33.2,370718
1013499,"2013-01-15",33.1,33.295,32.835,32.84,437712
1013499,"2013-01-16",32.905,33.535,32.905,33.43,619493
1013499,"2013-01-17",33.335,33.815,33.155,33.705,558541
1013499,"2013-01-18",33.8,34.03,33.555,33.955,644497
1013499,"2013-01-21",34.03,34.135,33.655,33.74,360212
1013499,"2013-01-22",33.745,34.015,33.745,33.905,464261
1013499,"2013-01-23",33.895,34.07,33.745,33.94,399397
1013499,"2013-01-24",33.84,34.03,33.815,33.975,477082
1013499,"2013-01-25",33.9,34.55,33.84,34.45,536499
1013499,"2013-01-28",34.76,34.87,34.555,34.635,662820
1013499,"2013-01-29",34.695,34.725,34.605,34.655,512337
1013499,"2013-01-30",34.69,34.74,34.13,34.25,644882
1013499,"2013-01-31",33.85,34.08,33.42,33.815,863972
1013499,"2013-02-01",33.79,34.375,33.56,34.1,1025884
1013499,"2013-02-04",34.03,34.04,33.25,33.25,750706
1013499,"2013-02-05",33.17,33.965,33.155,33.95,708236
1013499,"2013-02-06",34,34.18,33.6,33.705,774487
1013499,"2013-02-07",33.735,33.995,33.56,33.59,690070
1013499,"2013-02-08",33.735,33.845,33.56,33.745,644928
1013499,"2013-02-11",33.61,33.765,33.23,33.4,671242
1013499,"2013-02-12",33.305,33.38,33.065,33.325,608493
1013499,"2013-02-13",33.4,33.66,33.18,33.44,634500
1013499,"2013-02-14",33.4,33.93,33.23,33.845,633074
1013499,"2013-02-15",33.725,34.315,33.7,34.215,958745
1013499,"2013-02-18",34.145,34.34,34.035,34.25,536185
1013499,"2013-02-19",34.2,35.545,34.1,35.455,919367
1013499,"2013-02-20",35,35.43,34.81,35.07,740006
1013499,"2013-02-21",35.07,35.07,33.225,34,1759219
1013499,"2013-02-22",34.115,34.33,33.88,34.195,1033196
1013499,"2013-02-25",34.3,34.715,34.24,34.63,1021348
1013499,"2013-02-26",33.98,34.565,33.81,34.34,699873
1013499,"2013-02-27",34.47,34.82,34.205,34.795,771823
1013499,"2013-02-28",35,35.385,34.995,35.08,1436659
1013499,"2013-03-01",35.795,36.495,35.285,36.145,1465344
1013499,"2013-03-04",36.06,36.16,35.8,36.005,584960
1013499,"2013-03-05",36.155,36.55,36.14,36.2,684405
1013499,"2013-03-06",36.33,36.655,36.27,36.34,526223
1013499,"2013-03-07",36.395,36.48,36.05,36.06,645166
1013499,"2013-03-08",36.2,36.37,35.36,35.455,858887
1013499,"2013-03-11",34.95,35.32,34.515,35.32,936160
1013499,"2013-03-12",35.195,35.295,34.765,35.095,788703
1013499,"2013-03-13",35.07,35.85,35.07,35.745,880389
1013499,"2013-03-14",35.8,35.92,35.355,35.495,651241
1013499,"2013-03-15",35.735,36.115,35.39,36.105,1129118
1013499,"2013-03-18",35.835,36.95,35.55,36.5,897860
1013499,"2013-03-19",36.405,36.405,35.655,35.905,702827
1013499,"2013-03-20",36,36.095,35.23,35.595,1005115
1013499,"2013-03-21",35.56,35.725,35.14,35.675,831400
1013499,"2013-03-22",35.65,35.99,35.545,35.695,767173
1013499,"2013-03-25",36.09,36.31,35.42,35.42,745321
1013499,"2013-03-26",35.43,35.71,35.15,35.49,749759
1013499,"2013-03-27",34.74,35.13,34.14,34.96,3231741
1013499,"2013-03-28",34.96,35.015,34.71,34.795,771634
1013499,"2013-04-02",34.93,36.435,34.9,36.37,1573106
1013499,"2013-04-03",36.455,36.8,35.79,35.8,957678
1013499,"2013-04-04",35.815,35.955,35.14,35.23,813963
1013499,"2013-04-05",35.125,35.2,34.175,34.455,1120198
1013499,"2013-04-08",34.5,34.775,34.255,34.5,990008
1013499,"2013-04-09",34.475,34.725,34.205,34.54,1128354
1013499,"2013-04-10",34.675,35.1,34.535,34.995,639938
1013499,"2013-04-11",34.955,35.58,34.875,35.405,546132
1013499,"2013-04-12",35.285,35.485,34.95,35.04,614303
1013499,"2013-04-15",34.97,35.235,34.58,34.865,628499
1013499,"2013-04-16",34.68,35.27,33.88,34.38,1017913
1013499,"2013-04-17",34.59,34.61,33.365,33.96,1267857
1013499,"2013-04-18",33.875,34.755,33.775,34.405,996698
1013499,"2013-04-19",34.5,35.06,34.305,34.965,822468
1013499,"2013-04-22",35,35.39,34.805,35.01,834284
1013499,"2013-04-23",35.81,37.18,35.8,36.97,2005263
1013499,"2013-04-24",37.175,37.175,36.63,36.86,1142425
1013499,"2013-04-25",37.525,37.96,37.33,37.46,1136925
1013499,"2013-04-26",37.615,37.93,37.43,37.725,799035
1013499,"2013-04-29",37.71,37.9,37.44,37.81,573801
1013499,"2013-04-30",37.86,37.97,37.215,37.29,1085446
1013499,"2013-05-02",37.05,37.87,36.995,37.5,1282240
1013499,"2013-05-03",37.535,38.16,37.335,37.9,767101
1013499,"2013-05-06",37.795,37.85,37.46,37.65,350693
1013499,"2013-05-07",37.65,37.85,37.38,37.61,680728
1013499,"2013-05-08",37.845,38.015,37.495,37.935,685960
1013499,"2013-05-09",37.955,38.975,37.955,38.655,856082
1013499,"2013-05-10",38.69,39.285,38.535,39.245,775103
1013499,"2013-05-13",39.06,39.365,38.98,39.21,746189
1013499,"2013-05-14",39.685,40.25,39.43,39.5,1320591
1013499,"2013-05-15",39.51,39.81,39.27,39.645,501613
1013499,"2013-05-16",39.57,40.385,39.435,40.26,838831
1013499,"2013-05-17",40.13,40.345,39.875,40.11,833172
1013499,"2013-05-20",40.065,40.39,39.92,40.34,390669
1013499,"2013-05-21",40.5,41.07,40.45,40.92,937706
1013499,"2013-05-22",40.805,40.905,40.25,40.69,751714
1013499,"2013-05-23",40,40.485,39.735,40.435,927257
1013499,"2013-05-24",40.69,40.8,40.135,40.365,454001
1013499,"2013-05-27",40.54,40.76,40.14,40.425,267461
1013499,"2013-05-28",40.635,41.425,40.595,41.265,664814
1013499,"2013-05-29",41.195,41.71,40.97,41.035,1190534
1013499,"2013-05-30",40.82,41.685,40.79,41.54,644008
1013499,"2013-05-31",41.55,41.55,40.555,41.095,1876239
1013499,"2013-06-03",40.705,40.825,40.145,40.36,1115921
1013499,"2013-06-04",40.455,40.595,39.945,40.025,875128
1013499,"2013-06-05",39.75,40.085,39.63,39.9,818928
1013499,"2013-06-06",40.12,40.215,39.695,39.75,927722
1013499,"2013-06-07",39.765,39.99,39.225,39.685,937721
1013499,"2013-06-10",39.86,40.725,39.685,40.5,833714
1013499,"2013-06-11",40.285,40.5,39.765,39.875,799321
1013499,"2013-06-12",39.795,40.565,39.795,40.275,541278
1013499,"2013-06-13",39.84,40.685,39.705,40.59,983523
1013499,"2013-06-14",40.705,41.01,40.54,40.96,1147501
1013499,"2013-06-17",41.25,41.79,41.01,41.48,816215
1013499,"2013-06-18",41.49,41.49,40.995,41.245,1010166
1013499,"2013-06-19",41.315,41.41,40.67,41.1,881999
1013499,"2013-06-20",40.8,40.98,39.61,39.96,1366047
1013499,"2013-06-21",40.07,40.605,39.62,39.62,1228312
1013499,"2013-06-24",39.595,39.595,38.48,38.825,1040168
1013499,"2013-06-25",38.975,39.635,38.765,39.635,890528
1013499,"2013-06-26",39.585,40.195,39.255,40.045,923864
1013499,"2013-06-27",39.985,40.68,39.905,40.545,631959
1013499,"2013-06-28",40.815,40.985,40.09,40.125,1235610
1013499,"2013-07-01",40.215,40.755,40.15,40.545,971435
1013499,"2013-07-02",40.51,40.74,40.225,40.655,718798
1013499,"2013-07-03",40.41,40.675,40.145,40.57,902265
1013499,"2013-07-04",40.87,41.785,40.675,41.785,979530
1013499,"2013-07-05",41.79,42.03,41.295,41.515,1259775
1013499,"2013-07-08",41.81,42.41,41.81,42.225,489519
1013499,"2013-07-09",42.49,42.82,42.25,42.61,894569
1013499,"2013-07-10",42.64,42.855,42.175,42.61,610179
1013499,"2013-07-11",43.11,43.275,42.36,42.8,776216
1013499,"2013-07-12",42.735,42.8,42.28,42.655,744354
1013499,"2013-07-15",42.82,43.165,42.765,43.08,544817
1013499,"2013-07-16",42.955,43.075,42.5,42.65,529212
1013499,"2013-07-17",42.895,43.065,42.235,42.4,804350
1013499,"2013-07-18",42.48,43.25,42.4,43.25,711314
1013499,"2013-07-19",43.31,43.35,42.63,43.275,800603
